FORT WORTH,Serial No/VIN,VIN6,Ending Balance, 2100        ,VIN6,Description,Control    
2026 Subaru FORESTERSUVPR,4S4SLDB65T3037844,037844,"$30,973.00 "," (30,973.00)",037844,SUBARU LOANER           3/16/26  4S4SLDB65T3037844,R4811
2026 Subaru CROSSTREK5 DO,4S4GUHD67T3756164,756164,"$31,023.00 "," (31,023.00)",756164,2026 SUBARU CROSSTREK   3/31/26  4S4GUHD67T3756164,R5194
2026 Subaru CROSSTREK5 DO,4S4GUHD68T3756223,756223,"$31,023.00 "," (31,023.00)",756223,2026 SUBARU CROSSTREK   3/20/26  4S4GUHD68T3756223,R5108
2026 Subaru CROSSTREK5 DO,4S4GUHD67T3756455,756455,"$31,023.00 "," (31,023.00)",756455,2026 SUBARU CROSSTREK   3/25/26  4S4GUHD67T3756455,R5151
2026 Buick BUCK ENCOR G,KL4AMDSL6TB149023,149023,"$31,030.73 "," (31,030.73)",149023,2026 BUICK ENCORE GX    2/23/26  KL4AMDSL6TB149023,B36333
2026 Buick BUCK ENCOR G,KL4AMDSL4TB152552,152552,"$31,030.73 "," (31,030.73)",152552,"MIRANDA, TERESE YVONN   3/26/26  KL4AMDSL4TB152552",B36596
2026 Buick BUCK ENCOR G,KL4AMDSL0TB166626,166626,"$31,030.73 "," (31,030.73)",166626,"GONZALES, STELLA        3/10/26  KL4AMDSL0TB166626",B36421
,,,," (31,210.00)",723124,SUBARU LOANER          12/18/25  4S4GUHF6XT3723124,R4734
2025 Buick BUCK ENCLV P,5GAERARS9SJ168742,168742,"$31,671.50 "," (31,671.50)",168742,GMC LOANER              4/14/26  5GAERARS9SJ168742,B33974
2026 Subaru FORESTERSUVPR,4S4SLDB62T3087195,087195,"$31,672.00 "," (31,672.00)",087195,"ARRIOLA, ANGIELINA      4/07/26  4S4SLDB62T3087195",R5218
2025 GMC Truck GMC TERRN EL,3GKALMEG7TL475651,475651,"$31,855.43 "," (31,855.43)",475651,"WHITLOCK, RUTH MCDOWE   4/17/26  3GKALMEG7TL475651",G36728
2026 Subaru FORESTERSUVPR,4S4SLDD6XT3038436,038436,"$31,925.00 "," (31,925.00)",038436,SUBARU LOANER           3/16/26  4S4SLDD6XT3038436,R4845
2026 Subaru FORESTERSUVPR,4S4SLDD6XT3042826,042826,"$31,925.00 ",,,,
2025 Subaru CROSSTREK5 DO,4S4GUHM6XS3776942,776942,"$32,116.00 "," (32,116.00)",776942,SUBARU LOANER          12/31/25  4S4GUHM6XS3776942,R4440
,,,," (32,164.77)",100365,2025 GMC HUMMER EV PI   4/14/26  1GT40DDA2SU100365,G34045
2026 Subaru FORESTERSUVPR,4S4SLDB6XT3099157,099157,"$32,217.00 "," (32,217.00)",099157,HUFFINES SUBARU CORIN   4/29/26  4S4SLDB6XT3099157,R5291
2025 Subaru OUTBACKWAGONP,4S4BTADC1S3293057,293057,"$32,228.00 "," (32,228.00)",293057,SUBARU LOANER          12/31/25  4S4BTADC1S3293057,R4367
2025 Subaru OUTBACKWAGONP,4S4BTADC9S3293579,293579,"$32,228.00 "," (32,228.00)",293579,25 OUTBACK 4S4BTADC9S3293579,R4348
2025 Subaru OUTBACKWAGONP,4S4BTADC8S3293721,293721,"$32,228.00 "," (32,228.00)",293721,25 OUTBACK PREMIUM 4S4BTADC8S3293721,R4265
2025 Subaru OUTBACKWAGONP,4S4BTADC9S3330436,330436,"$32,279.00 "," (32,279.00)",330436,25 OUTBACK 4S4BTADC9S3330436,R4530
2025 Subaru CROSSTREK5 DO,4S4GUHM69S3768475,768475,"$32,332.00 "," (32,332.00)",768475,SUBARU LOANER          11/28/25  4S4GUHM69S3768475,R4271
2025 Subaru CROSSTREK5 DO,4S4GUHM67S3768622,768622,"$32,332.00 "," (32,332.00)",768622,SUBARU LOANER          11/11/25  4S4GUHM67S3768622,R4270
2026 Buick ENVISTA,KL47LCEP1TB088010,088010,"$32,404.20 "," (32,404.20)",088010,"EUBANKS III, WILLIAM    2/17/26  KL47LCEP1TB088010",B36273
2025 GMC Truck GMC TERRN EL,3GKALMEG3TL474870,474870,"$32,549.18 ",,,,
2026 Subaru FORESTERSUVPR,4S4SLDB65T3099132,099132,"$32,592.00 "," (32,592.00)",099132,"MUJDANOVIC, DAMIR       4/29/26  4S4SLDB65T3099132",R5290
2025 GMC Truck GMC TERRN EL,3GKALMEG9TL442294,442294,"$33,007.05 "," (33,007.05)",442294,2026 GMC TERRAIN        3/23/26  3GKALMEG9TL442294,G36521
2026 Subaru CROSSTREK5 DO,4S4GUHL68T3737799,737799,"$33,093.00 "," (33,093.00)",737799,2026 SUBARU CROSSTREK   2/19/26  4S4GUHL68T3737799,R4968
,,,," (33,592.00)",096577,"CASTLEBERRY, CARLOTTA   4/30/26  4S4SLDD6XT3096577",R5300
2026 Subaru FORESTERSUVSP,4S4SLDF69T3044256,044256,"$33,684.00 "," (33,684.00)",044256,SUBARU LOANER           3/16/26  4S4SLDF69T3044256,R4914
2026 Subaru CROSSTREK5 DO,4S4GUHU62T3719099,719099,"$33,808.00 "," (33,808.00)",719099,2026 SUBARU CROSSTREK   1/29/26  4S4GUHU62T3719099,R4778
2025 Subaru FORESTERSUVSP,JF2SLDFC8SH606029,606029,"$33,892.00 "," (33,892.00)",606029,SUBARU LOANER          11/26/25  JF2SLDFC8SH606029,R4550
2026 Subaru CROSSTREK5 DO,JF2GUSGD8T8232778,232778,"$34,027.00 "," (34,027.00)",232778,2026 SUBARU CROSSTREK   3/05/26  JF2GUSGD8T8232778,R5047
2026 Subaru CROSSTREK5 DO,JF2GUSGD3T8234261,234261,"$34,027.00 "," (34,027.00)",234261,2026 SUBARU CROSSTREK   3/11/26  JF2GUSGD3T8234261,R5065
,,,," (34,181.00)",094837,2026 SUBARU FORESTER    4/30/26  4S4SLSE76T3094837,R5306
,,,," (34,184.00)",042826,SUBARU LOANER           1/19/26  4S4SLDD6XT3042826,R4866
2026 Subaru FORESTERSUVSP,4S4SLDF64T3010502,010502,"$34,190.00 "," (34,190.00)",010502,2026 SUBARU FORESTER    4/13/26  4S4SLDF64T3010502,R4670
2026 Subaru CROSSTREK5 DO,JF2GUSGD8T8240511,240511,"$34,220.00 "," (34,220.00)",240511,2026 SUBARU CROSSTREK   4/10/26  JF2GUSGD8T8240511,R5241
2026 Subaru CROSSTREK5 DO,JF2GUSGD8T8240623,240623,"$34,220.00 "," (34,220.00)",240623,"GETMAN, PEGGY ANN       4/10/26  JF2GUSGD8T8240623",R5242
,,,," (34,220.00)",246485,2026 SUBARU CROSSTREK   4/30/26  JF2GUSGD8T8246485,R5316
2025 GMC Truck GMC TERRN EL,3GKALMEGXTL474705,474705,"$34,352.93 "," (34,352.93)",474705,"ESPINOSA, PAULINA       4/17/26  3GKALMEGXTL474705",G36730
2025 GMC Truck GMC TERRN EL,3GKALMEG4TL475901,475901,"$34,352.93 "," (34,352.93)",475901,2026 GMC TERRAIN        4/17/26  3GKALMEG4TL475901,G36729
2026 Subaru OUTBACKWAGONP,JF2BUPBD8TY471407,471407,"$34,513.00 "," (34,513.00)",471407,2026 SUBARU OUTBACK     4/13/26  JF2BUPBD8TY471407,R4852
2026 Subaru OUTBACKWAGONP,JF2BUPBD2TY471564,471564,"$34,513.00 "," (34,513.00)",471564,2026 SUBARU OUTBACK     4/13/26  JF2BUPBD2TY471564,R4844
2026 Subaru OUTBACKWAGONP,JF2BUPBD3TY472089,472089,"$34,513.00 ",,,,
2026 Subaru OUTBACKWAGONP,JF2BUPBD1TY472611,472611,"$34,513.00 "," (34,513.00)",472611,SUBARU LOANER           3/16/26  JF2BUPBD1TY472611,R4848
2026 Subaru OUTBACKWAGONP,JF2BUPBD6TY473737,473737,"$34,513.00 ",,,,
2026 Subaru OUTBACKWAGONP,JF2BUPBD7TY474458,474458,"$34,513.00 ",,,,
2026 Subaru FORESTERSUVSP,4S4SLDF69T3007658,007658,"$34,690.00 "," (34,690.00)",007658,SUBARU LOANER          11/11/25  4S4SLDF69T3007658,R4647
2026 Subaru FORESTERSUVPR,4S4SLSE79T3096372,096372,"$34,726.00 "," (34,726.00)",096372,"JEFFRIES, MICHAEL LEE   4/24/26  4S4SLSE79T3096372",R5285
2026 Subaru FORESTERSUVPR,4S4SLSE78T3096623,096623,"$34,726.00 "," (34,726.00)",096623,"RUIZ VAZQUEZ, ROY JOR   4/29/26  4S4SLSE78T3096623",R5293
2026 Subaru CROSSTREK5 DO,4S4GUHM68T3755458,755458,"$34,863.00 "," (34,863.00)",755458,2026 SUBARU CROSSTREK   4/07/26  4S4GUHM68T3755458,R5217
2026 Subaru CROSSTREK5 DO,4S4GUHM65T3755661,755661,"$34,863.00 "," (34,863.00)",755661,2026 SUBARU CROSSTREK   3/25/26  4S4GUHM65T3755661,R5145
2026 Subaru CROSSTREK5 DO,4S4GUHM65T3755742,755742,"$34,863.00 "," (34,863.00)",755742,2026 SUBARU CROSSTREK   3/25/26  4S4GUHM65T3755742,R5146
2026 Subaru CROSSTREK5 DO,4S4GUHM66T3755913,755913,"$34,863.00 "," (34,863.00)",755913,2026 SUBARU CROSSTREK   3/25/26  4S4GUHM66T3755913,R5152
2026 Subaru OUTBACKWAGONP,JF2BUPAD8TY500406,500406,"$34,889.00 "," (34,889.00)",500406,2026 SUBARU OUTBACK     3/17/26  JF2BUPAD8TY500406,R5083
2026 Subaru CROSSTREK5 DO,JF2GUSND6T8233558,233558,"$34,951.00 "," (34,951.00)",233558,2026 SUBARU CROSSTREK   3/05/26  JF2GUSND6T8233558,R5041
2026 Subaru CROSSTREK5 DO,JF2GUSND6T8240042,240042,"$34,951.00 "," (34,951.00)",240042,"GARRETT, KATE VIRGINI   4/03/26  JF2GUSND6T8240042",R5215
2026 Subaru FORESTERSUVSP,4S4SLDH65T3026348,026348,"$34,954.00 "," (34,954.00)",026348,SUBARU LOANER           3/16/26  4S4SLDH65T3026348,R4738
2026 Subaru FORESTERSUVSP,4S4SLDH6XT3031223,031223,"$34,954.00 "," (34,954.00)",031223,2026 SUBARU FORESTER    4/13/26  4S4SLDH6XT3031223,R4779
2026 Subaru FORESTERSUVSP,4S4SLDH68T3039644,039644,"$35,033.00 "," (35,033.00)",039644,SUBARU LOANER           3/16/26  4S4SLDH68T3039644,R4828
2026 Subaru WRX4 DOORPREM,JF1VBAH62T9804076,804076,"$35,204.00 "," (35,204.00)",804076,"HOLLEY, DALTON LOYD     4/29/26  JF1VBAH62T9804076",R5296
2026 Subaru CROSSTREK5 DO,4S4GUHM64T3755814,755814,"$35,238.00 "," (35,238.00)",755814,2026 SUBARU CROSSTREK   3/25/26  4S4GUHM64T3755814,R5144
2026 Subaru OUTBACKWAGONP,JF2BUPAD6TY514420,514420,"$35,256.00 "," (35,256.00)",514420,"REASONER, CODY          4/10/26  JF2BUPAD6TY514420",R5239
2026 Subaru OUTBACKWAGONP,JF2BUPADXTY517420,517420,"$35,256.00 "," (35,256.00)",517420,2026 SUBARU OUTBACK     4/13/26  JF2BUPADXTY517420,R5249
2026 Subaru OUTBACKWAGONP,JF2BUPAD7TY519092,519092,"$35,256.00 "," (35,256.00)",519092,2026 SUBARU OUTBACK     4/22/26  JF2BUPAD7TY519092,R5278
2026 Subaru OUTBACKWAGONP,JF2BUPAD0TY520942,520942,"$35,256.00 "," (35,256.00)",520942,2026 SUBARU OUTBACK     4/10/26  JF2BUPAD0TY520942,R5245
2026 Subaru CROSSTREK5 DO,JF2GUSND6T8218896,218896,"$35,554.00 "," (35,554.00)",218896,2026 SUBARU CROSSTREK   2/05/26  JF2GUSND6T8218896,R4922
2026 Subaru OUTBACKWAGONP,JF2BUPAD8TY516850,516850,"$35,631.00 "," (35,631.00)",516850,"RENDON, JOSHUA MICHAE   4/13/26  JF2BUPAD8TY516850",R5248
2026 Subaru CROSSTREK5 DO,4S4GUHU63T3756808,756808,"$35,981.00 "," (35,981.00)",756808,2026 SUBARU CROSSTREK   4/02/26  4S4GUHU63T3756808,R5211
2026 Subaru CROSSTREK5 DO,4S4GUHU69T3756845,756845,"$35,981.00 "," (35,981.00)",756845,"BRADLEY, CHRISTOPHER    4/24/26  4S4GUHU69T3756845",R5283
2026 Subaru CROSSTREK5 DO,4S4GUHU69T3756974,756974,"$35,981.00 "," (35,981.00)",756974,2026 SUBARU CROSSTREK   4/02/26  4S4GUHU69T3756974,R5210
2026 Subaru FORESTERSUVSP,4S4SLDH68T3078704,078704,"$36,156.00 "," (36,156.00)",078704,2026 SUBARU FORESTER    3/31/26  4S4SLDH68T3078704,R5198
2026 Subaru FORESTERSUVSP,4S4SLDH66T3078717,078717,"$36,156.00 "," (36,156.00)",078717,2026 SUBARU FORESTER    3/31/26  4S4SLDH66T3078717,R5197
2026 Subaru FORESTERSUVSP,4S4SLDH67T3086812,086812,"$36,156.00 "," (36,156.00)",086812,2026 SUBARU FORESTER    4/09/26  4S4SLDH67T3086812,R5234
2026 Subaru FORESTERSUVSP,4S4SLDH68T3086818,086818,"$36,156.00 "," (36,156.00)",086818,2026 SUBARU FORESTER    4/14/26  4S4SLDH68T3086818,R5256
2026 Subaru FORESTERSUVLI,4S4SLDR66T3011369,011369,"$36,212.00 "," (36,212.00)",011369,SUBARU LOANER           3/16/26  4S4SLDR66T3011369,R4655
2026 Subaru FORESTERSUVLI,4S4SLDR68T3011776,011776,"$36,212.00 "," (36,212.00)",011776,2026 SUBARU FORESTER    1/29/26  4S4SLDR68T3011776,R4672
2026 Subaru FORESTERSUVLI,4S4SLDR6XT3012962,012962,"$36,212.00 "," (36,212.00)",012962,SUBARU LOANER           3/16/26  4S4SLDR6XT3012962,R4674
2026 Subaru FORESTERSUVSP,4S4SLDH67T3096515,096515,"$36,350.00 "," (36,350.00)",096515,2026 SUBARU FORESTER    4/24/26  4S4SLDH67T3096515,R5284
2026 Subaru CROSSTREK5 DO,4S4GUHU67T3746346,746346,"$36,355.00 "," (36,355.00)",746346,2026 SUBARU CROSSTREK   3/06/26  4S4GUHU67T3746346,R5055
2026 Subaru CROSSTREK5 DO,4S4GUHU67T3746802,746802,"$36,355.00 "," (36,355.00)",746802,2026 SUBARU CROSSTREK   3/05/26  4S4GUHU67T3746802,R5043
2026 Subaru CROSSTREK5 DO,JF2GUSND6T8234404,234404,"$36,372.00 "," (36,372.00)",234404,"CHANDLER, TRISHA ELIZ   3/11/26  JF2GUSND6T8234404",R5066
2026 Subaru CROSSTREK5 DO,JF2GUSND8T8234632,234632,"$36,372.00 "," (36,372.00)",234632,2026 SUBARU CROSSTREK   3/30/26  JF2GUSND8T8234632,R5184
2026 Subaru CROSSTREK5 DO,JF2GUSND6T8234872,234872,"$36,372.00 "," (36,372.00)",234872,2026 SUBARU CROSSTREK   3/26/26  JF2GUSND6T8234872,R5168
2026 Subaru BRZ2 DOOR COU,JF1ZDBE15T8701539,701539,"$36,400.00 "," (36,400.00)",701539,2026 SUBARU BRZ         4/13/26  JF1ZDBE15T8701539,R5247
2026 Subaru OUTBACKWAGONP,JF2BUPBD6TY510687,510687,"$36,406.00 "," (36,406.00)",510687,2026 SUBARU OUTBACK     4/02/26  JF2BUPBD6TY510687,R5204
2026 Subaru OUTBACKWAGONP,JF2BUPBD4TY513989,513989,"$36,406.00 "," (36,406.00)",513989,2026 SUBARU OUTBACK     3/24/26  JF2BUPBD4TY513989,R5138
,,,," (36,531.00)",094591,"GLOVER, TRISTA MAE      4/30/26  4S4SLDH62T3094591",R5301
2026 Subaru CROSSTREK5 DO,JF2GUSND8T8240446,240446,"$36,532.00 "," (36,532.00)",240446,2026 SUBARU CROSSTREK   3/30/26  JF2GUSND8T8240446,R5186
2026 Subaru CROSSTREK5 DO,JF2GUSND2T8240507,240507,"$36,532.00 "," (36,532.00)",240507,2026 SUBARU CROSSTREK   4/07/26  JF2GUSND2T8240507,R5223
2026 Subaru CROSSTREK5 DO,JF2GUSND5T8240940,240940,"$36,532.00 "," (36,532.00)",240940,2026 SUBARU CROSSTREK   4/10/26  JF2GUSND5T8240940,R5237
2026 Subaru ASCENTSUVPREM,4S4WMAAD9T3404998,404998,"$36,686.00 "," (36,686.00)",404998,2026 SUBARU ASCENT      1/29/26  4S4WMAAD9T3404998,R4748
,,,," (36,725.00)",100956,2026 SUBARU FORESTER    4/30/26  4S4SLDH64T3100956,R5302
2026 Subaru FORESTERSUVLI,4S4SLDR69T3024228,024228,"$36,774.00 "," (36,774.00)",024228,2026 SUBARU FORESTER    4/13/26  4S4SLDR69T3024228,R4729
2025 Subaru OUTBACKWAGONL,4S4BTANC5S3312823,312823,"$36,833.00 "," (36,833.00)",312823,25 OUTBACK 4S4BTANC5S3312823,R4415
2026 Subaru CROSSTREK5 DO,JF2GUSND4T8220629,220629,"$36,975.00 "," (36,975.00)",220629,2026 SUBARU CROSSTREK   2/10/26  JF2GUSND4T8220629,R4944
,,,," (37,084.00)",101543,2026 SUBARU FORESTER    4/30/26  4S4SLDR68T3101543,R5304
,,,," (37,084.00)",101548,2026 SUBARU FORESTER    4/30/26  4S4SLDR67T3101548,R5303
2026 Subaru FORESTERSUVLI,4S4SLDR68T3026066,026066,"$37,133.00 "," (37,133.00)",026066,2026 SUBARU FORESTER    2/13/26  4S4SLDR68T3026066,R4775
2026 Subaru OUTBACKWAGONP,JF2BUPBD6TY502525,502525,"$37,148.00 "," (37,148.00)",502525,2026 SUBARU OUTBACK     4/09/26  JF2BUPBD6TY502525,R5231
2026 Subaru OUTBACKWAGONP,JF2BUPBD8TY514790,514790,"$37,148.00 "," (37,148.00)",514790,2026 SUBARU OUTBACK     4/09/26  JF2BUPBD8TY514790,R5227
,,,," (37,153.00)",472089,SUBARU LOANER           1/15/26  JF2BUPBD3TY472089,R4849
2026 Subaru OUTBACKWAGONP,JF2BUPBD8TY472900,472900,"$37,153.00 "," (37,153.00)",472900,2026 SUBARU OUTBACK     1/30/26  JF2BUPBD8TY472900,R4908
2026 Subaru OUTBACKWAGONP,JF2BUPBDXTY472994,472994,"$37,153.00 "," (37,153.00)",472994,2026 SUBARU OUTBACK     1/30/26  JF2BUPBDXTY472994,R4910
,,,," (37,153.00)",473737,SUBARU LOANER           1/22/26  JF2BUPBD6TY473737,R4896
,,,," (37,153.00)",474458,SUBARU LOANER           1/30/26  JF2BUPBD7TY474458,R4913
2026 Subaru OUTBACKWAGONP,JF2BUPBD6TY477416,477416,"$37,153.00 "," (37,153.00)",477416,2026 SUBARU OUTBACK     1/30/26  JF2BUPBD6TY477416,R4912
2026 Subaru FORESTERSUVLI,4S4SLDR6XT3079156,079156,"$37,294.00 "," (37,294.00)",079156,2026 SUBARU FORESTER    3/31/26  4S4SLDR6XT3079156,R5199
2026 Subaru OUTBACKWAGONP,JF2BUPBD7TY483726,483726,"$37,418.00 "," (37,418.00)",483726,2026 SUBARU OUTBACK     2/20/26  JF2BUPBD7TY483726,R4976
2026 Subaru OUTBACKWAGONP,JF2BUPBD8TY485145,485145,"$37,418.00 "," (37,418.00)",485145,2026 SUBARU OUTBACK     2/20/26  JF2BUPBD8TY485145,R4988
2026 Subaru OUTBACKWAGONP,JF2BUPBD5TY490688,490688,"$37,418.00 "," (37,418.00)",490688,2026 SUBARU OUTBACK     2/28/26  JF2BUPBD5TY490688,R5023
2026 Subaru FORESTERSUVSP,4S4SLSJ78T3064681,064681,"$37,441.00 "," (37,441.00)",064681,2026 SUBARU FORESTER    3/23/26  4S4SLSJ78T3064681,R5127
2026 Subaru FORESTERSUVSP,4S4SLSJ79T3069212,069212,"$37,441.00 "," (37,441.00)",069212,2026 SUBARU FORESTER    3/06/26  4S4SLSJ79T3069212,R5050
2026 Subaru OUTBACKWAGONP,JF2BUPBD9TY514832,514832,"$37,523.00 "," (37,523.00)",514832,2026 SUBARU OUTBACK     4/09/26  JF2BUPBD9TY514832,R5228
2026 Subaru OUTBACKWAGONP,JF2BUPBD9TY517620,517620,"$37,523.00 "," (37,523.00)",517620,"LOPEZ, DANIELA ELIZAB   4/13/26  JF2BUPBD9TY517620",R5250
2026 Subaru FORESTERSUVSP,4S4SLDH69T3051141,051141,"$37,543.00 "," (37,543.00)",051141,2026 SUBARU FORESTER    2/16/26  4S4SLDH69T3051141,R4958
2026 Subaru FORESTERSUVSP,4S4SLDH67T3051493,051493,"$37,543.00 "," (37,543.00)",051493,2026 SUBARU FORESTER    2/16/26  4S4SLDH67T3051493,R4957
2026 Subaru FORESTERSUVSP,4S4SLSJ78T3079665,079665,"$37,687.00 "," (37,687.00)",079665,2026 SUBARU FORESTER    3/25/26  4S4SLSJ78T3079665,R5156
2025 Subaru FORESTERSUVLI,JF2SLSRD1SH451283,451283,"$37,879.00 "," (37,879.00)",451283,2025 SUBARU FORESTER    2/16/26  JF2SLSRD1SH451283,R4751
2026 Subaru FORESTERSUVWI,4S4SLDL68T3031082,031082,"$37,900.00 "," (37,900.00)",031082,2026 SUBARU FORESTER    1/29/26  4S4SLDL68T3031082,R4780
,,,," (38,147.00)",803763,2026 SUBARU WRX         4/30/26  JF1VBAN6XT9803763,R5311
2026 Subaru FORESTERSUVWI,4S4SLDL65T3067568,067568,"$38,428.00 "," (38,428.00)",067568,2026 SUBARU FORESTER    3/11/26  4S4SLDL65T3067568,R5061
2026 Subaru OUTBACKWAGONL,JF2BUPDD9TY458310,458310,"$38,542.00 "," (38,542.00)",458310,2026 SUBARU OUTBACK     1/29/26  JF2BUPDD9TY458310,R4753
2026 Subaru FORESTERSUVLI,4S4SLSR7XT3078179,078179,"$38,703.00 "," (38,703.00)",078179,2026 SUBARU FORESTER    3/31/26  4S4SLSR7XT3078179,R5201
2026 Subaru FORESTERSUVLI,4S4SLSR75T3079434,079434,"$38,703.00 "," (38,703.00)",079434,2026 SUBARU FORESTER    4/24/26  4S4SLSR75T3079434,R5286
2026 Subaru FORESTERSUVWI,4S4SLDL64T3096303,096303,"$38,794.00 "," (38,794.00)",096303,2026 SUBARU FORESTER    4/29/26  4S4SLDL64T3096303,R5292
2026 Subaru OUTBACKWAGONL,JF2BUPDD7TY477843,477843,"$38,806.00 "," (38,806.00)",477843,2026 SUBARU OUTBACK     4/13/26  JF2BUPDD7TY477843,R4861
2025 GMC Truck GMC TERRN AT,3GKALYEG9TL150099,150099,"$38,991.40 "," (38,991.40)",150099,2026 GMC TERRAIN        6/04/25  3GKALYEG9TL150099,G34772
,,,," (39,082.00)",803970,2026 SUBARU WRX         4/30/26  JF1VBAN67T8803970,R5310
2026 Subaru FORESTERSUVWI,4S4SLDL68T3078550,078550,"$39,101.00 "," (39,101.00)",078550,2026 SUBARU FORESTER    3/23/26  4S4SLDL68T3078550,R5118
2026 Subaru FORESTERSUVWI,4S4SLDL67T3078801,078801,"$39,101.00 "," (39,101.00)",078801,2026 SUBARU FORESTER    3/23/26  4S4SLDL67T3078801,R5116
2026 Subaru FORESTERSUVWI,4S4SLDL68T3078998,078998,"$39,101.00 "," (39,101.00)",078998,"PRITCHETT, STEPHEN DO   3/25/26  4S4SLDL68T3078998",R5154
2026 Subaru FORESTERSUVWI,4S4SLDL69T3079576,079576,"$39,101.00 "," (39,101.00)",079576,2026 SUBARU FORESTER    3/25/26  4S4SLDL69T3079576,R5155
2026 Subaru OUTBACKWAGONL,JF2BUPDDXTY471521,471521,"$39,165.00 "," (39,165.00)",471521,SUBARU LOANER           3/16/26  JF2BUPDDXTY471521,R4862
2026 Subaru FORESTERSUVWI,4S4SLDL67T3051534,051534,"$39,506.00 "," (39,506.00)",051534,"WHITT, IVAN CHARLES     2/19/26  4S4SLDL67T3051534",R4970
2026 Subaru FORESTERSUVTO,4S4SLDT63T3087155,087155,"$39,514.00 "," (39,514.00)",087155,2026 SUBARU FORESTER    4/16/26  4S4SLDT63T3087155,R5265
2025 GMC Truck GMC TERRN AT,3GKALYEGXTL244816,244816,"$39,577.45 "," (39,577.45)",244816,"KIMMELL, JONATHAN AUB  12/08/25  3GKALYEGXTL244816",G35999
2026 Subaru FORESTERSUVTO,4S4SLDT63T3068072,068072,"$39,762.00 "," (39,762.00)",068072,2026 SUBARU FORESTER    3/17/26  4S4SLDT63T3068072,R5079
2025 GMC Truck GMC TERRN AT,3GKALYEG2TL179430,179430,"$39,777.25 "," (39,777.25)",179430,2026 GMC TERRAIN        7/01/25  3GKALYEG2TL179430,G34938
,,,," (40,024.00)",101109,"DOLLAR, LORETTA         4/30/26  4S4SLDT62T3101109",R5305
2026 Subaru FORESTERSUVTO,4S4SLDT68T3068181,068181,"$40,137.00 "," (40,137.00)",068181,"PUCILOWSKI, LOUIS A     3/11/26  4S4SLDT68T3068181",R5063
,,,," (40,153.00)",422366,"DURAN, JORGE LUIS       4/30/26  4S4WMABD9T3422366",R5308
2025 GMC Truck GMC TERRN AT,3GKALYEG7TL481148,481148,"$40,173.60 ",,,,
2025 Subaru ASCENTSUVONYX,4S4WMAFD6S3439473,439473,"$40,196.00 "," (40,196.00)",439473,SUBARU LOANER          12/31/25  4S4WMAFD6S3439473,R4444
2027 GMC TRUCK TERRAIN,3GKALYEG0TL221075,221075,"$40,600.00 "," (40,600.00)",221075,2026 GMC TERRAIN        4/22/26  3GKALYEG0TL221075,G35088
2025 GMC Truck GMC TERRN AT,3GKALYEG8TL480767,480767,"$40,631.48 ",,,,
2026 Subaru OUTBACKWAGONL,JF2BUPDD9TY484261,484261,"$40,724.00 "," (40,724.00)",484261,2026 SUBARU OUTBACK     2/10/26  JF2BUPDD9TY484261,R4938
2026 Subaru OUTBACKWAGONL,JF2BUPDD8TY487295,487295,"$40,724.00 "," (40,724.00)",487295,2026 SUBARU OUTBACK     2/10/26  JF2BUPDD8TY487295,R4937
2026 Subaru OUTBACKWAGONL,JF2BUPDD9TY487953,487953,"$40,724.00 "," (40,724.00)",487953,2026 SUBARU OUTBACK     2/10/26  JF2BUPDD9TY487953,R4940
2026 Subaru OUTBACKWAGONL,JF2BUPDD4TY490680,490680,"$40,724.00 "," (40,724.00)",490680,2026 SUBARU OUTBACK     2/28/26  JF2BUPDD4TY490680,R5026
2026 Subaru OUTBACKWAGONL,JF2BUPDD4TY490730,490730,"$40,724.00 "," (40,724.00)",490730,2026 SUBARU OUTBACK     2/28/26  JF2BUPDD4TY490730,R5025
2026 Subaru OUTBACKWAGONL,JF2BURGDXTY470165,470165,"$40,825.00 ",,,,
2026 Subaru FORESTERSUVTO,4S4SLST74T3079045,079045,"$40,934.00 "," (40,934.00)",079045,2026 SUBARU FORESTER    4/07/26  4S4SLST74T3079045,R5220
2026 Subaru FORESTERSUVTO,4S4SLST76T3079418,079418,"$40,934.00 "," (40,934.00)",079418,2026 SUBARU FORESTER    3/25/26  4S4SLST76T3079418,R5149
2026 Subaru FORESTERSUVTO,4S4SLST77T3079430,079430,"$40,934.00 "," (40,934.00)",079430,2026 SUBARU FORESTER    3/25/26  4S4SLST77T3079430,R5150
2026 Subaru FORESTERSUVTO,4S4SLST77T3094607,094607,"$40,934.00 "," (40,934.00)",094607,"MASTROPIERO, KATHERIN   4/22/26  4S4SLST77T3094607",R5274
2025 GMC Truck GMC TERRN DE,3GKALZEG1TL251384,251384,"$41,086.45 "," (41,086.45)",251384,"CRAINE, MARGARET H     12/08/25  3GKALZEG1TL251384",G36003
2025 GMC Truck GMC TERRN AT,3GKALYEG6TL221470,221470,"$41,167.60 "," (41,167.60)",221470,2026 GMC TERRAIN        8/12/25  3GKALYEG6TL221470,G35109
2026 Subaru FORESTERSUVTO,4S4SLST7XT3064226,064226,"$41,182.00 "," (41,182.00)",064226,2026 SUBARU FORESTER    3/25/26  4S4SLST7XT3064226,R5158
2025 Buick ENVISION,LRBFZLE43SD025577,025577,"$41,198.96 "," (41,198.96)",025577,2025 BUICK ENVISION     3/12/26  LRBFZLE43SD025577,B34178
